shift1,shift2,shift3,shift4,shift5,shift6,shift7,shift8,shift9,shift10,log_cc_move
2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3204199198210254,2.3211037740625433,2.2663999936165844,2.2651009721295132,2.2770772103788226,2.418379501062025
2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3204199198210254,2.3211037740625433,2.2663999936165844,2.2651009721295132,2.4613233379712627
2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3204199198210254,2.3211037740625433,2.2663999936165844,2.3371791611542103
2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3204199198210254,2.3211037740625433,2.3082052164149514
2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3204199198210254,2.2383152437947547
2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.3230546329522554,2.3260447411916974
2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.3250770900916,2.2792108311114028
2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3106441883234616,2.2673667552992693
2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.3619678638798396,2.3392764282316176
2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.3793840507064226,2.345254312323743
2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.418379501062025,2.297596956981776
2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.4613233379712627,2.296226125315177
2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3371791611542103,2.2686606739268917
2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3082052164149514,2.3042532654105723
2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2383152437947547,2.3135885299359518
2.3135885299359518,2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.3260447411916974,2.2604144177862207
2.2604144177862207,2.3135885299359518,2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.2792108311114028,2.2877590540319668
2.2877590540319668,2.2604144177862207,2.3135885299359518,2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.2673667552992693,2.3379769142229585
2.3379769142229585,2.2877590540319668,2.2604144177862207,2.3135885299359518,2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.3392764282316176,2.349450502553695
2.349450502553695,2.3379769142229585,2.2877590540319668,2.2604144177862207,2.3135885299359518,2.3042532654105723,2.2686606739268917,2.296226125315177,2.297596956981776,2.345254312323743,2.366321286146611
